name,lat,lon
"Tammistonkatu 27, Vantaa",60.273324,24.96348
"Takkatie 7, Helsinki",60.222942,24.854811
"Yrjönkatu 21, Helsinki",60.168053,24.939034
"Vaijeritie 1, Vantaa",60.254885,24.808975
"Talvelantie 4, Helsinki",60.253896,25.001266
"Arinatie 20, Vantaa",60.282928,24.965976
"Backåkersvägen 19, Helsingfors",60.220744,24.898406
"Alppila, Helsinki",60.189893,24.942922
"Espoontie 25, Espoo",60.219861,24.664632
"Brinkinmäentie 1, Espoo",60.169549,24.615761
"Apollonkatu, Helsinki",60.176424,24.922296
"Bulevardi 40, Helsinki",60.162548,24.932583
"Hagelstamintie 20, Vantaa",60.281697,24.960717
"Hietaniemenkatu 1, Helsinki",60.169971,24.925879
"Hämeentie 26, Helsinki",60.18311,24.957043
"Hämeentie 70, Helsinki",60.191015,24.964055
"Huopalahdentie 1, Helsinki",60.196779,24.885921
"Näyttelijäntie, Helsinki",60.227882,24.894615
"Mestarintie 5, Vantaa",60.30532,24.851848
"Kutomotie 6, Helsinki",60.213822,24.874372
"Helsingin Kaupunginteatteri, Helsinki",60.181805,24.94262
"Malminkartanontie 1, Helsinki",60.244,24.847519
"Kirstintie 17, Espoo",60.204256,24.673195
"Karapellontie 11, Espoo",60.217195,24.75103
"Tenholantie 1, Helsinki",60.20279,24.901883
"Mustialankatu 1, Helsinki",60.230028,25.02199
"Reiherintie 7, Helsinki",60.169248,25.042535
"Töölönkatu 27, Helsinki",60.180343,24.925153
"Stoa, Helsinki",60.211934,25.07918
"Vanha Yrttimaantie 22, Helsinki",60.268709,25.013417
"Heikinlaaksontie, Helsinki",60.269854,25.069296
"Veromäen koulu, Vantaa",60.286159,24.962077
"Unioninkatu 39, Helsinki",60.174338,24.950827
"Vanamonkuja 1, Vantaa",60.308121,25.026664
"Kaisaniemenkatu, Helsinki",60.171765,24.947675
"Vattuniemenkatu 16, Helsinki",60.152686,24.884151
"Hirsalantie 11, Kirkkonummi",60.130741,24.514072
"Vieraskuja, Espoo",60.207492,24.661783
"Hirsipadontie 5, Helsinki",60.23409,24.95172
"Kirjurinkuja 1, Espoo",60.215942,24.826179
"Kluuvikatu 1, Helsinki",60.168337,24.947884
"Fredrikinkatu 48, Helsinki",60.169401,24.929106
"Hämeentie 36, Helsinki",60.184479,24.959573
"Karjalankatu 2, Helsinki",60.193159,24.936611
"Katajanokanlaituri 1, Helsinki",60.167899,24.958492
"Käpyläntie 4, Helsinki",60.214439,24.958216
"Linnoitustie 6, Espoo",60.210938,24.814092
"Metsänhoitajankatu, Helsinki",60.233496,25.04357
"Mannerheimintie, Helsinki",60.187618,24.919099
"Nuolikuja 6, Vantaa",60.298639,24.911123
"Makasiiniterminaali, Helsinki",60.163914,24.954801
"Koivu-Mankkaan tie 5, Espoo",60.176666,24.782595
"Katariina Saksilaisen katu, Helsinki",60.216688,24.984894
"Otaranta 6, Espoo",60.184296,24.834837
"Kutomotie 12, Helsinki",60.214763,24.87039
"Mannerheimintie 47, Helsinki",60.188811,24.918179
"Vattuniemenranta 2, Helsinki",60.154289,24.886741
"Pursimiehenkatu 25, Helsinki",60.15892,24.936055
"Siltavoudintie 1, Helsinki",60.22925,24.965241
"Simonkallion koulu, Vantaa",60.307161,25.024024
"Porslahdentie, Helsinki",60.222172,25.149255
"Pasilanraitio 12, Helsinki",60.200973,24.925095
"Vuorikatu 14, Helsinki",60.171654,24.946883
"Sotungintie 19, Vantaa",60.2802,25.12162
"Siltasaarenkatu 15, Helsinki",60.182505,24.949831
"Vantaanpuisto, Vantaa",60.300195,24.85388
"Valimotie 16, Helsinki",60.22012,24.876709
"Hagelstamintie 27, Vantaa",60.280155,24.968482
"Kamreerintie 2, Espoo",60.203513,24.653955
"Aalto 6, Espoo",60.149527,24.639391
"Asema-aukio 2, Helsinki",60.170488,24.938321
"Helsinginkatu 14, Helsinki",60.186885,24.954301
"Horsmakuja 4, Helsinki",60.202791,25.082201
"Kaivosrinteenkuja 2, Vantaa",60.270214,24.872251
"Kansallisteatteri, Helsinki",60.172401,24.943819
"Kaskenkaatajantie 1, Espoo",60.181941,24.793892
"Kurkisuontie 12, Helsinki",60.233038,25.072089
"Länsisatamankatu 16, Helsinki",60.159373,24.909932
"Linnatullinkatu 1, Espoo",60.218871,24.80822
"Korppaanmäentie 17, Helsinki",60.205582,24.892735
"Myyrmäentie 2, Vantaa",60.264619,24.852782
"Niittymaantie 1, Espoo",60.170088,24.775308
"Maununnevantie 1, Helsinki",60.24392,24.900228
"Mechelininkatu 15, Helsinki",60.172398,24.9203
"Osmontie 34, Helsinki",60.219114,24.946263
"Pikku Satamakatu 3, Helsinki",60.165633,24.967645
"Töyrytie 6, Helsinki",60.226163,24.924839
"Vääksyntie 4, Helsinki",60.190834,24.961054
"Toinen Linja 10, Helsinki",60.183461,24.942557
"Ylistörmä 5, Espoo",60.176077,24.738065
"Urheilupuistontie 2, Espoo",60.178776,24.787253
"Pohjantori, E2051, Espoo",60.1836,24.79511
"Untamontie 15, Helsinki",60.212688,24.955329
"Untamontie 10, Helsinki",60.213164,24.952971
"Tanhuantie 1, Helsinki",60.236131,25.094106
"Wallininkuja 3, Helsinki",60.184958,24.945241
"Vyökatu 1, Helsinki",60.166666,24.969401
"Emma - Espoon modernin taiteen museo, Espoo",60.178754,24.794426
"Jämeräntaival 3, Espoo",60.187339,24.836368
"Käskynhaltijantie 14, Helsinki",60.23608,24.973668
"Malmin Kauppatie 8, Helsinki",60.249799,25.006576
"Kuurinniitty, Espoo",60.197777,24.700396
"Keijumäki 1, Espoo",60.18872,24.799679
"Haapaniemenkatu 12, Helsinki",60.180017,24.960913
"Kiltakuja 1, Espoo",60.199661,24.654609
"Munkkiniemen Puistotie 25, Helsinki",60.199215,24.873639
"Peshawar, Espoo",60.209874,24.754144
"Pallomylly, Helsinki",60.21935,25.079587
"Nuijavuori 1, Espoo",60.211466,24.767072
"Läkkisepänkuja 8, Helsinki",60.220523,24.937527
"Runeberginkatu 32, Helsinki",60.176157,24.921739
"Pukinkuja 2, Helsinki",60.250655,24.982978
"Kuusitie 11, Helsinki",60.19473,24.897707
"Otavantie 1, Helsinki",60.156649,24.879273
"Startup Sauna, Espoo",60.180562,24.832284
"Pasilan kirjasto, Helsinki",60.200775,24.935879
"Talttakuja 1, Helsinki",60.242117,25.025
"Sampsantie 50, Helsinki",60.217311,24.94587
"Urheilukatu 9, Helsinki",60.190308,24.918535
"Teknillinen korkeakoulu, Espoo",60.187185,24.827666
"Tukholmankatu 2, Helsinki",60.190748,24.911725
"Soukantie 16, Espoo",60.141712,24.66978
"Arabiankatu 12, Helsinki",60.209273,24.978625
"Allergia-apu, Helsinki",60.195835,24.960099
"Tapiolan terveysasema, Espoo",60.178288,24.798093
"Juvanpuro 1, Espoo",60.277818,24.752095
"Isokaari 9, Helsinki",60.157183,24.868355
"Arabiankatu 6, Helsinki",60.207493,24.977294
"Haapaniemenkatu 11, Helsinki",60.179039,24.959784
"Isonnevantie 28, Helsinki",60.217104,24.886923
"Ensi Linja 2, Helsinki",60.181851,24.942424
"Liuskekuja 1, Helsinki",60.236222,25.018744
"Mannerheimintie 81, Helsinki",60.19319,24.908774
"Kaskilaaksontie 1, Espoo",60.139443,24.660845
"Kaupintie 11, Helsinki",60.231135,24.881342
"Kaikukatu 2, Helsinki",60.183027,24.95923
"Kivikonkaari 49, Helsinki",60.232117,25.057027
"Krakankuja 2, Vantaa",60.288622,24.944979
"Mäkitorpantie 30, Helsinki",60.226648,24.954857
"Länsisatamankatu 23, Helsinki",60.158222,24.910419
"Läntinen Papinkatu, Helsinki",60.184604,24.948679
"Paciuksenkatu 29, Helsinki",60.195544,24.890673
"Nelikkokuja 1, Espoo",60.161654,24.7414
"Vanha Nurmijärventie, Vantaa",60.28056,24.875099
"Postipuuntie 10, Espoo",60.22238,24.823297
"Merenkulkijankatu 1, Espoo",60.147446,24.656727
"Vallikatu, Espoo",60.228212,24.81895
"Vaisalantie 8, Espoo",60.188772,24.808225
"Vanha Viertotie 22, Helsinki",60.211793,24.880045
"Snellmaninkatu 1, Helsinki",60.169808,24.954714
"Vattuniemen Puistotie 1, Helsinki",60.151627,24.891596
"Siltasaarenkatu 13, Helsinki",60.181689,24.949918
"Vesikuja 8, Helsinki",60.196408,24.893631
"Westendintie 99, Espoo",60.162875,24.791422
"Hansakallio 2, Espoo",60.188713,24.594058
"Erottajankatu, Helsinki",60.165423,24.944007
"Hämeentie 67, Helsinki",60.194021,24.9645
"Juustenintie 1, Helsinki",60.244758,24.869404
"Alppikatu 9, Helsinki",60.185297,24.943398
"Hämeentie 44, Helsinki",60.185914,24.960602
"Annankatu 18, Helsinki",60.165513,24.937804
"Eteläinen Rautatiekatu, Helsinki",60.170228,24.93002
"Kalevankatu, Helsinki",60.162834,24.92483
"Kala-Maija 3, Espoo",60.15937,24.740169
"Käskynhaltijantie 11, Helsinki",60.234658,24.959993
"Käskynhaltijantie, Helsinki",60.237628,24.975655
"Pohjantie 2, Espoo",60.175006,24.798162
"Kiviteltankatu 1, Helsinki",60.229634,24.996369
"Piilipuuntie 7, Espoo",60.185961,24.739838
"Linnoitustie 9, Espoo",60.212193,24.811229
"Huutokonttori, Helsinki",60.159741,24.92108
"Tammihaantie 2, Espoo",60.233487,24.718267
"Tietotie 6, Espoo",60.183853,24.819338
"Vilppulantie 1, Helsinki",60.248396,25.011233
"Pikku Huopalahti, Helsinki",60.204534,24.889584
"Rasinkatu 4, Vantaa",60.322319,25.064418
"Fabianinkatu 1, Helsinki",60.163278,24.951227
"Jokiniemi, Vantaa",60.298265,25.056779
"Huopalahdentie 10, Helsinki",60.198856,24.883189
"Maapallonkatu 8, Espoo",60.170968,24.726085
"Leenankuja, Espoo",60.153628,24.741334
"Järnvägstorget, Helsingfors",60.171283,24.942572
"Majurinkulma, Espoo",60.211559,24.825847
"Kutomotie 16, Helsinki",60.215633,24.86967
"Mäkelänkatu 54, Helsinki",60.196815,24.950508
"Rautatieläisenkatu 1, Helsinki",60.202179,24.939039
"Mekaanikonkatu 1, Helsinki",60.199873,25.042353
"Kuusikkotie 4, Helsinki",60.230334,24.927302
"Neitsytsaarentie 1, Helsinki",60.222304,25.139937
"Keravan aurinkovoimala, Kerava",60.422788,25.125042
"Kirkkojärventie 6, Espoo",60.205621,24.655357
"Pertunpellontie 1, Helsinki",60.268254,24.992128
"Ristiaallokonkatu 4, Espoo",60.154028,24.642401
"Satulamaakarintie 1, Espoo",60.190294,24.619902
"Solnantie 19, Helsinki",60.195012,24.878169
"Säterintie 2, Helsinki",60.243172,24.993555
"Sakara 2, Helsinki",60.243729,25.079121
"Sauvatie, Vantaa",60.31977,25.073512
"Fabianinkatu 7, Helsinki",60.164216,24.950322
"Taivaskalliontie 1, Helsinki",60.219374,24.960202
"Tapanilankaari, Helsinki",60.267032,25.031848
"Töölönkatu 3, Helsinki",60.174019,24.931483
"Asemakuja 3, Espoo",60.205033,24.660218
"Gyldenintie 2, Helsinki",60.158518,24.876438
"Helsinginkatu 20, Helsinki",60.186725,24.952057
"Hämeentie 30, Helsinki",60.183581,24.95842
"Hernesaari, Helsinki",60.148743,25.098482
"Itämerenkatu 8, Helsinki",60.1633,24.918027
"Sörnäisten rantatie 23, Helsinki",60.184963,24.965714
"Katajaharjuntie 1, Helsinki",60.16405,24.859168
"Komeetankatu 2, Espoo",60.166378,24.733955
"Kirstinkatu 4, Helsinki",60.186063,24.946434
"Laivalahdenkaari 34, Helsinki",60.186243,25.032903
"Lohkopellontie 1, Helsinki",60.224325,24.966214
"Kuuluttajankatu 1, Helsinki",60.205584,24.916683
"Unikkotie 3, Helsinki",60.245968,24.990782
"Lummetie 5, Vantaa",60.296515,25.040502
"Maununnevantie 3, Helsinki",60.243707,24.901524
"Rasinkatu 15, Vantaa",60.3241,25.066468
"Upseerinkatu 3, Espoo",60.216151,24.818655
"Piispansilta, Espoo",60.160398,24.73769
"Runeberginkatu 61, Helsinki",60.180343,24.925153
"Tähkätie 4, Helsinki",60.234461,24.850818
"Ulvilantie 1, Helsinki",60.205373,24.879575
"Heinjoenpolku 2, Espoo",60.203414,24.802286
"Lehdeskuja 1, Espoo",60.182709,24.667741
"Porvoonkatu 19, Helsinki",60.190915,24.946564
"Olympiakylä, 3061, Helsinki",60.210898,24.952538
"Postitalo, Helsinki",60.170971,24.937039
"Nihtisilta 4, Espoo",60.207219,24.749601
"Henttaa, Espoo",60.192543,24.730731
"Ressun lukio, Helsinki",60.167059,24.938156
"Helsinki",60.172992,24.942044
"Trumpettitie 6, Helsinki",60.238822,24.868381
"Adjutantinkatu 8, Espoo",60.223239,24.83458
"Suursuonlaita 2, Helsinki",60.234154,24.93611
"Tuukkalantie 15, Helsinki",60.242407,25.100841
"Munkkiniemen Puistotie 17, Helsinki",60.198138,24.87822
"Junkkarinkaari 7, Vantaa",60.288801,24.961233
"Valimotie, Helsinki",60.216789,24.877451
"Satamaradankatu 5, Helsinki",60.190473,24.954583
"Äyritie 1, Vantaa",60.294477,24.976478
"Hiomotie 46, Helsinki",60.219599,24.869376
"Rautalammintie 1, Helsinki",60.196641,24.956129
"Iivisniemenkatu 4, Espoo",60.149207,24.69051
"Isonniitynkuja 2, Espoo",60.163593,24.706804
"Hämeentie 34, Helsinki",60.184165,24.959069
"Isonnevantie 1, Helsinki",60.210648,24.888746
"Kaivokselantie 8, Vantaa",60.266991,24.871267
"Nuumäki, E1401, Espoo",60.23675,24.74327
"Näyttelijäntie 16, Helsinki",60.231597,24.896321
"Laivalahdenkaari 19, Helsinki",60.187126,25.035537
"Olarinniityntie 4, Espoo",60.18063,24.735894
"Erottajankatu 5, Helsinki",60.164715,24.944811
"Leppävaarankatu 1, Espoo",60.217572,24.81273
"Maarukankuja 1, Vantaa",60.337781,25.103453
"Otsolahdentie 16, Espoo",60.177535,24.818044
"Toivonkatu, Helsinki",60.184195,24.924781
"Töölön Yhteiskoulu, Helsinki",60.185282,24.923824
"Mannerheimintie 113, Helsinki",60.206637,24.899724
"Raiviosuonmäki 3, Vantaa",60.280988,24.846336
"Soidinkuja 6, Helsinki",60.252876,25.017069
"Sahaajankatu 20, Helsinki",60.200056,25.046853
"Tietotie 2, Espoo",60.185374,24.822213
"Vanha Tapanilantie 62, Helsinki",60.262323,25.012774
"Tehtaankatu, Helsinki",60.158196,24.94469
"Viipurinkatu 4, Helsinki",60.190489,24.947421
"Castréninkatu 28, Helsinki",60.185695,24.950533
"Viulutie 1, Helsinki",60.236826,24.880577
"Kaivokatu 6, Helsinki",60.170036,24.942171
"Kastanjakuja, Vantaa",60.256552,24.803895
"Honkavaarankuja 1, Espoo",60.230082,24.734993
"Antaksentie 3, Vantaa",60.292633,24.945289
"Vuorenpeikontie 5, Helsinki",60.201626,25.055871
"Hämeentie 3, Helsinki",60.18072,24.952917
"Huokotie 1, Helsinki",60.261487,25.075828
"Kielotie 7, Vantaa",60.290003,25.03626
"Kluuvikatu 3, Helsinki",60.168642,24.947847
"Lontoonkatu 9, Helsinki",60.203073,24.973774
"Miestentie 2, Espoo",60.179369,24.826884
"Lokkalantie 14, Helsinki",60.199117,24.87987
"Merituulentie 30, Espoo",60.170762,24.772125
"Museokatu 10, Helsinki",60.174019,24.931483
"Kivivuorentie 4, Vantaa",60.278362,24.853924
"Porintie 5, Helsinki",60.205779,24.870164
"Teknobulevardi 1, Vantaa",60.305686,24.970866
"Mäkelänkatu 30, Helsinki",60.194441,24.956176
"Sokerilinnantie 11, Espoo",60.21555,24.815446
"Pirkkolan Uimahalli, Helsinki",60.231977,24.910778
"Haapaniemistigen 15, Kyrkslätt",60.234346,24.365658
"Vanamontie 4, Vantaa",60.307995,25.029677
"Ateneum, Helsinki",60.170018,24.944089
"Yrjönkatu 18, Helsinki",60.165628,24.941726
"Everstinkuja 1, Espoo",60.212762,24.822834
"Helsinge skola, Vantaa",60.281924,24.981057
"Esikkotie 9, Vantaa",60.298559,25.043944
"Viljo Sohkasen Katu 3, Vantaa",60.29784,25.051244
"Kaivopuisto, Helsinki",60.159617,24.95463
"Kaanaanpiha 4, Helsinki",60.212394,24.980689
"Temppeliaukion kirkko, Helsinki",60.172953,24.925227
"Katajanokanranta 1, Helsinki",60.165377,24.972022
"Hakaniemenkatu 7, Helsinki",60.178971,24.954775
"Kiskottajankuja 1, Espoo",60.22955,24.814117
"Karhutie 1, Kirkkonummi",60.127201,24.471827
"Kirvisenkuja 1, Vantaa",60.365669,25.069156
"Kuusitie 12, Helsinki",60.194131,24.898449
"Karhulantie 2, Helsinki",60.215716,25.104714
"Kasöörinkatu 3, Helsinki",60.198631,24.942528
"Kruununhaka, Helsinki",60.173005,24.953536
"Kontulankaari 24, Helsinki",60.246296,25.080236
"Konalantie 12, Helsinki",60.226828,24.85204
"Opastinsilta 8, Helsinki",60.198971,24.939272
"Lönnrotinkatu 41, Helsinki",60.162698,24.927221
"Jupperin koulu, Espoo",60.249012,24.769721
"Mannerheimintie 120, Helsinki",60.192271,24.909211
"Siilitie 18, Helsinki",60.212932,25.038669
"Löydöstie 1, Vantaa",60.262694,24.857608
"Raikurinne 1, Vantaa",60.277398,24.863754
"Mikkelä, Espoo",60.204998,24.635395
"Yläkiventie 5, Helsinki",60.222557,25.070881
"Sibeliuksenkatu 10, Helsinki",60.181958,24.922238
"Peltokyläntie, Helsinki",60.268678,24.982448
"Unioninkatu 20, Helsinki",60.165999,24.950571
"Hakaniemenranta 1, Helsinki",60.177745,24.950993
"Gyldenintie 6, Helsinki",60.160334,24.877154
"Betonimiehenkuja 3, Espoo",60.180546,24.831856
"Kuitinmäen koulu, Espoo",60.168173,24.726736
"Hämeentie 124, Helsinki",60.205114,24.96975
"Vanha Viertotie 2, Helsinki",60.209149,24.888807
"Kirstinkatu 2, Helsinki",60.185577,24.946393
"Koivuvaarankuja 1, Vantaa",60.255316,24.817152
"Vanha Turuntie 75, Espoo",60.220298,24.692154
"Maistraatinportti 4, Helsinki",60.198185,24.926011
"Liusketie 16, Helsinki",60.237195,25.01659
"Matinkartanontie 1, Espoo",60.15664,24.752658
"Sepontie 1, Espoo",60.188206,24.790929
"Myllynkivenkuja 4, Vantaa",60.284616,24.837486
"Pasilan Puistotie 10, Helsinki",60.200027,24.923784
"Fredrikinkatu 20, Helsinki",60.162696,24.938593
"Aamuruskontie 2, Helsinki",60.283712,25.028118
"Eteläinen Hesperiankatu 22, Helsinki",60.176423,24.923255
"Helsingin medialukio, Helsinki",60.269825,25.030543
"Ulvilantie 25, Helsinki",60.209483,24.87265
"Bulevardi 6, Helsinki",60.165691,24.942317
"Ukonkivenpolku 4, Vantaa",60.262,24.868066
"Hertaksentie 2, Vantaa",60.290616,25.041832
"Bulevardi 28, Helsinki",60.163679,24.935972
"Kauriintie 4, Helsinki",60.272397,24.991042
"Kielotie 21, Vantaa",60.298415,25.041474
"Kuusisaari, Helsinki",60.185767,24.861868
"Katajanokanlaituri 6, Helsinki",60.165302,24.963664
"Korkeavuorenkatu 1, Helsinki",60.159586,24.947132
"Aleksis Kiven Katu 38, Helsinki",60.189935,24.950558
"Nuijamäki 6, Espoo",60.210895,24.764078
"Teuvo Pakkalan Tie 2, Helsinki",60.227112,24.902929
"Kumpulantie 1, Helsinki",60.19642,24.941259
"Bemböle, Espoo",60.224645,24.680813
"Pronssitie 4, Helsinki",60.231261,24.883609
"Takomotie 8, Helsinki",60.21786,24.873533
"Aapelinkatu, Espoo",60.155153,24.75022
"Eteläranta 8, Helsinki",60.164675,24.952095
"Myllymatkantie 4, Helsinki",60.224788,25.064394
"Palokunnanmäki 1, Vantaa",60.299487,25.035003
"Hevostilantie 1, Espoo",60.270343,24.7557
"Albertinkatu 25, Helsinki",60.163818,24.934504
"Jakomäentie, Helsinki",60.25535,25.069746
"Siemenkuja 3, Helsinki",60.254994,25.011555
"Hiihtäjäntie 1, Helsinki",60.194861,25.0284
"Rastilantie 5, Helsinki",60.214278,25.131276
"Väinölänkatu 17, Helsinki",60.213773,24.954594
"Tiedekeskus Heureka, Vantaa",60.287679,25.04021
"Kaivosvoudintie 4, Vantaa",60.265307,24.869261
"Leinikkitie 11, Vantaa",60.310453,25.033168
"Ilmalankatu 2, Helsinki",60.205584,24.916683
"Kuusitie 4, Helsinki",60.19491,24.900546
"Aleksis Kiven katu, Helsinki",60.195079,24.938804
"Keskuskatu 2, Helsinki",60.168616,24.942134
"Maininkipuisto, Espoo",60.151956,24.646389
"Mankkaantie 2, Espoo",60.19413,24.768142
"Kaitaan koulu ja lukio, Espoo",60.149483,24.696579
"Kutojantie 4, Espoo",60.211286,24.750026
"Keilaranta 10, Espoo",60.178655,24.834253
"Myrskyläntie 22, Helsinki",60.224404,24.969586
"Finnoontie 12, Espoo",60.169932,24.690605
"Meriusva 5, Espoo",60.154713,24.636514
"Urheilupuistontie 3, Espoo",60.177784,24.785949
"Porvoonkatu 14, Helsinki",60.19064,24.945048
"Piispanportti 12, Espoo",60.163912,24.735801
"Elimäenkatu 5, Helsinki",60.193841,24.951613
"Rosendalinkuja 3, Vantaa",60.267621,24.966999
"Tilanhoitajankaari 8, Helsinki",60.231701,25.031208
"Sörnäistenkatu 19, Helsinki",60.194329,24.973429
"Salmisaarenranta 11, Helsinki",60.16623,24.899943
"Karakalliontie 5, Espoo",60.227462,24.764286
"Teuvo Pakkalan Tie 1, Helsinki",60.227585,24.90326
"Junailijankuja 10, Helsinki",60.200452,24.936008
"Kaarlenkatu 11, Helsinki",60.186015,24.952011
"Piispankalliontie 17, Espoo",60.168863,24.750639
"Liusketie 2, Helsinki",60.235564,25.013221
"Pikku Satamakatu 2, Helsinki",60.165942,24.964381
"Keilaranta 13, Espoo",60.178052,24.836384
"Pitäjänmäentie 14, Helsinki",60.214903,24.875692
"Puunhaltijankuja 1, Vantaa",60.323069,25.042696
"Airport Hotel Pilotti;Ravintola Volare, Vantaa",60.284674,24.965799
"Suutarila, Helsinki",60.283659,25.010861
"Kanneltie 8, Helsinki",60.241196,24.878596
"Viherlaaksonranta 7, Espoo",60.227757,24.730368
"Haapaniemenkatu 5, Helsinki",60.181137,24.957907
"Takkatie 1, Helsinki",60.221812,24.861234
"Asentajankatu 6, Helsinki",60.198182,25.043374
"Vanha Tapanilantie, Helsinki",60.261386,25.015923
"Itämerenkatu 23, Helsinki",60.163454,24.906717
"Castréninkatu 3, Helsinki",60.184066,24.94564
"Viikinkaari 4, Helsinki",60.226327,25.014755
"Bulevardi 7, Helsinki",60.164972,24.938235
"Kiviaidankatu 2, Helsinki",60.153845,24.88313
"Tiedekeskus Heureka, Vantaa",60.287679,25.04021
"Lehtovuorenkatu 6, Helsinki",60.249,24.833529
"Leinelänkaari 14, Vantaa",60.324567,25.038857
"Kivipadontie 4, Helsinki",60.23191,24.948424
"Laajavuorenkuja 3, Vantaa",60.281109,24.8411
"Leppäsuonkatu 9, Helsinki",60.169429,24.922867
"Koivuvaarankuja 2, Vantaa",60.256229,24.814253
"Nauriskaski, Espoo",60.172957,24.652785
"Mäkitorpantie 1, Helsinki",60.221632,24.948218
"Käpylänaukio 1, Helsinki",60.213374,24.943932
"Masalan asema, Kirkkonummi",60.158645,24.53919
"Männikkötie 5, Helsinki",60.226045,24.929885
"Nervanderinkatu 13, Helsinki",60.173932,24.928784
"Mäkelänkatu 13, Helsinki",60.192352,24.961645
"Savela, Helsinki",60.238316,24.986036
"Petter Wetterin tie 1, Helsinki",60.192358,25.031349
"Hämeentie 6, Helsinki",60.180892,24.951807
"Töölönkatu 55, Helsinki",60.184897,24.918896
"Rajatorpantie 41, Vantaa",60.255316,24.817152
"Pirttikorpi 7, Espoo",60.171165,24.637243
"Sörnäisten Rantatie 22, Helsinki",60.186951,24.970241
"Ratatie 11, Vantaa",60.293002,25.044729
"Helsinginkatu 21, Helsinki",60.18721,24.952658
"Leinikkitie 9, Vantaa",60.310415,25.034238
"Leppävaaran stadion, Espoo",60.225827,24.799135
"Eerikinkatu 27, Helsinki",60.165373,24.929413
"Kuntatalo, Helsinki",60.183931,24.940627
"Harmotie 1, Vantaa",60.276696,25.100716
"Itälahdenkatu 1, Helsinki",60.14758,24.882866
"Korppaanmäentie 1, Helsinki",60.203959,24.89856
"Kasarmikatu 21, Helsinki",60.165862,24.94811
"Hämeentie, Helsinki",60.198494,24.961933
"Kotisaarenkatu 3, Helsinki",60.202382,24.969648
"Martinkeskus, Vantaa",60.276645,24.847481
